UP-genes-Liang-and-Sun,Down-genes-Liang-and-Sun,UP-genes-MR-treat,Down-genes-MR-treat,UP-genes-MR-eBayes,Down-genes-MR-eBayes
PTP4A3,SLC26A4,SDC4,MLLT3,MPZL2,PKNOX2
ARMCX3,SLC4A4,CTSH,PKNOX2,PDZK1IP1,FHL1
MRC2,SORBS2,MFGE8,SLC39A14,GDF15,TNFRSF11B
NOX4,SORD,,POLI,CYP1B1,TBC1D4
NFE2L3,STARD13,,,DPP4,HBA2
CCND1,SYNE1,,,CHI3L1,HBA1
SPINT1,TBC1D4,,,PDLIM4,SYNE1
CDH6,TCEAL2,,,TACSTD2,PAPSS2
COL8A1,TFCP2L1,,,TNFRSF21,CA4
KLHDC8A,TFF3,,,PCSK2,MT1F
DDB2,TFPI,,,IGF2BP2,FGFR2
TPD52L1,TLE4,,,RYR1,ZFPM2
EPS8,TNFRSF11B,,,SDC4,TLE4
TNFRSF21,TNS3,,,TIMP1,LRP2
NPC2,TPO,,,ITGA3,FHL1
IGSF3,TPPP,,,BID,MLLT3
GJB3,TTC30A,,,CYP1B1,BCL2
SOX4,VLDLR,,,CTSH,HBB
MAMLD1,WASF3,,,CDC42EP3,MAFB
ITGA3,WFS1,,,SLPI,SLC39A14
,WWOX,,,AGR2,VLDLR
,ZFPM2,,,DIRAS3,EPHA3
,ZMAT4,,,COL1A1,POLI
,,,,MPZL2,MAGI2
,,,,ARMCX3,IQGAP2
,,,,RAB27A,GCSH
,,,,DUSP6,ANK2
,,,,COL1A1,MMRN1
,,,,PDLIM4,HBA2
,,,,ALOX5,HBA1
,,,,CST6,GCSH
,,,,COL8A2,HBB
,,,,S100A11,PKNOX2
,,,,CYP1B1,CXCL12
,,,,TMC6,MLLT3
,,,,BID,HBB
,,,,TYMS,RIOX2
,,,,CHST2,PLA2G7
,,,,,CPQ
,,,,,HSD17B6
,,,,,MT1M
,,,,,MT1H
,,,,,CCL21
,,,,,FMOD
,,,,,SDC2
,,,,,SLC1A1
,,,,,HBA2
,,,,,HBA1
,,,,,FLRT2
,,,,,HBA2
,,,,,HBA1
,,,,,DIO2
,,,,,ID4
,,,,,HSD17B6
,,,,,HBA2
,,,,,HBA1
,,,,,HBA2
,,,,,HBA1
,,,,,CDC14B
