Table of downregulated genes,,,,,,,Table of gene symbols and names for downregulated genes,,,,,,
This table was created by taking the consistently expressed genes in all 4 datasets and filtering for log2FC<-1 and p vlaue<0.05 in the limma output for Dataset 1. ,,,,,,,This table was created by taking the geneID column from the table on the left and looking for the genes in BIOGPS. ,,,,,,
logFC: estimate of the log2-fold-change corresponding to the contrast,AveExpr: average log2-expression for the probe over all arrays and channels,t: moderated t-statistic,P.Value: raw p-value,adj.P.Val: ajusted p-value,"Gene ID: affy probe ID, these were used to look for the gene symbols in BIOGPS ",,,the affy probe ID taken from geneID column from table on the left,Gene symbol,Gene ID,,,
-1.808624527,7.787246778,-5.360019133,0.00004246444383,0.006241245877,212224_at,,55,212224_at,ALDH1A1,216,aldehyde dehydrogenase 1 family member A1,human,
-2.331081886,7.001376556,-5.315725377,0.00004827623998,0.006838091764,207980_s_at,,56,207980_s_at,CITED2,10370,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,human,
-1.002974345,4.469559868,-5.254698846,0.00004990750204,0.006996647883,206043_s_at,,57,206043_s_at,ATP2C2,9914,ATPase secretory pathway Ca2+ transporting 2,human,
-2.521785038,6.424537604,-5.295539685,0.00005105259238,0.007102545772,205357_s_at,,58,205357_s_at,AGTR1,185,angiotensin II receptor type 1,human,
-1.772334468,10.04379707,-5.246905584,0.00005251487846,0.007286122523,203240_at,,59,203240_at,FCGBP,8857,Fc fragment of IgG binding protein,human,
-1.806834352,7.200698289,-5.244586997,0.00005288629878,0.007286122523,203387_s_at,,60,203387_s_at,TBC1D4,9882,TBC1 domain family member 4,human,
-2.127475957,7.246965049,-5.180193448,0.00006146336575,0.008058775833,218332_at,,61,218332_at,BEX1,55859,brain expressed X-linked 1,human,
-2.025990081,5.493250344,-5.105685969,0.00007032968918,0.008880544471,204753_s_at,,62,204753_s_at,HLF,3131,"HLF transcription factor, PAR bZIP family member",human,
-2.972182915,8.427911224,-5.058116282,0.00008417372409,0.010249885,219195_at,,63,219195_at,PPARGC1A,10891,PPARG coactivator 1 alpha,human,
-1.586860387,7.675695608,-4.991239062,0.00008476618475,0.01027779617,211596_s_at,,64,211596_s_at,LRIG1,26018,leucine rich repeats and immunoglobulin like domains 1,human,
-1.76958078,6.127540746,-4.991462726,0.0000858886632,0.01032079706,212843_at,,65,212843_at,NCAM1,4684,neural cell adhesion molecule 1,human,
-2.14026465,8.569034636,-4.997121362,0.00008772990743,0.01049104122,218858_at,,66,218858_at,DEPTOR,64798,DEP domain containing MTOR interacting protein,human,
-1.959942303,8.475228481,-4.961081032,0.00009259752687,0.01088767695,214505_s_at,,67,214505_s_at,FHL1,2273,four and a half LIM domains 1,human,
-1.495482863,7.340231447,-4.929652101,0.00009496955819,0.0110477885,209325_s_at,,68,209325_s_at,RGS16,6004,regulator of G protein signaling 16,human,
-2.587169007,5.505158061,-4.940124453,0.0001023189014,0.01155844202,222171_s_at,,69,222171_s_at,PKNOX2,63876,PBX/knotted 1 homeobox 2,human,
-1.579162792,9.613744992,-4.892302567,0.0001027115981,0.01157135379,204686_at,,70,204686_at,IRS1,3667,insulin receptor substrate 1,human,
-2.801813928,5.950058624,-4.943212446,0.0001037813327,0.01160377171,204932_at,,71,204932_at,TNFRSF11B,4982,TNF receptor superfamily member 11b,human,
-1.52932211,9.526446861,-4.767831024,0.0001306335075,0.01400468044,214433_s_at,,72,214433_s_at,SELENBP1,8991,selenium binding protein 1,human,
-1.888991054,6.135052094,-4.76306456,0.0001357469106,0.0144275949,220751_s_at,,73,220751_s_at,FAXDC2,10826,fatty acid hydroxylase domain containing 2,human,
-2.146617968,6.714900281,-4.739257632,0.0001457781737,0.01532773394,209447_at,,74,209447_at,SYNE1,23345,spectrin repeat containing nuclear envelope protein 1,human,
-1.624394025,8.852098946,-4.686309713,0.0001545054132,0.01606004462,49452_at,,75,49452_at,ACACB,32,acetyl-CoA carboxylase beta,human,
-1.101384253,7.676908385,-4.593948813,0.0001800771632,0.01782243561,208228_s_at,,76,208228_s_at,FGFR2,2263,fibroblast growth factor receptor 2,human,
-1.891106237,9.829692453,-4.614261075,0.0001824296137,0.01792932128,217165_x_at,,77,217165_x_at,MT1F,4494,metallothionein 1F,human,
-1.922425072,6.902336741,-4.613318116,0.000183310299,0.01792932128,219778_at,,78,219778_at,ZFPM2,23414,"zinc finger protein, FOG family member 2",human,
-1.235784049,7.225780707,-4.562092221,0.0001928105938,0.01852422003,219277_s_at,,79,219277_s_at,OGDHL,55753,oxoglutarate dehydrogenase L,human,
-1.958152248,8.050697397,-4.554884175,0.0002067275095,0.01948763204,205710_at,,80,205710_at,LRP2,4036,LDL receptor related protein 2,human,
-1.551230755,5.969393278,-4.471174363,0.000235758279,0.02141209951,203058_s_at,,81,203058_s_at,PAPSS2,9060,3'-phosphoadenosine 5'-phosphosulfate synthase 2,human,
-1.806289919,10.65253706,-4.469259573,0.0002419483666,0.02179328985,201540_at,,82,201540_at,FHL1,2273,four and a half LIM domains 1,human,
-1.471177373,10.16734183,-4.452381217,0.0002433248081,0.02184529373,203386_at,,83,203386_at,TBC1D4,9882,TBC1 domain family member 4,human,
-1.492532499,4.811235068,-4.430132357,0.0002548161572,0.02269067329,206209_s_at,,84,206209_s_at,CA4,762,carbonic anhydrase 4,human,
-1.020931698,7.968596112,-4.396589938,0.0002659599932,0.02345381069,203960_s_at,,85,203960_s_at,HSPB11,51668,heat shock protein family B (small) member 11,human,
-1.482796991,8.896443978,-4.397490919,0.0002718664672,0.02378673356,203638_s_at,,86,203638_s_at,FGFR2,2263,fibroblast growth factor receptor 2,human,
-1.859657707,8.281611485,-4.41379147,0.0002719105345,0.02378673356,211696_x_at,,87,211696_x_at,HBB,3043,hemoglobin subunit beta,human,
-1.304211292,6.396260701,-4.374373725,0.0002813924967,0.024382147,210298_x_at,,88,210298_x_at,FHL1,2273,four and a half LIM domains 1,human,
-2.372588812,6.84920483,-4.366362187,0.000315490558,0.0265381539,203474_at,,89,203474_at,IQGAP2,10788,IQ motif containing GTPase activating protein 2,human,
-1.632887171,8.496926409,-4.276925604,0.0003510246283,0.02879760801,206070_s_at,,90,206070_s_at,EPHA3,2042,EPH receptor A3,human,
-1.58185298,4.884689908,-4.250881442,0.0003683755203,0.02973834345,209822_s_at,,91,209822_s_at,VLDLR,7436,very low density lipoprotein receptor,human,
-1.386168147,8.804480374,-4.202208679,0.0004002257689,0.03121589717,203685_at,,92,203685_at,BCL2,596,BCL2 apoptosis regulator,human,
-1.374235694,10.96489622,-4.155190418,0.0004398610076,0.03374352688,218559_s_at,,93,218559_s_at,MAFB,9935,MAF bZIP transcription factor B,human,
-1.440795631,7.016250123,-4.093842125,0.0005008253188,0.03665569096,209737_at,,94,209737_at,MAGI2,9863,"membrane associated guanylate kinase, WW and PDZ domain containing 2",human,
-1.162929295,7.491636398,-4.045480935,0.000542387673,0.03891738323,204917_s_at,,95,204917_s_at,MLLT3,4300,MLLT3 super elongation complex subunit,human,
-2.124788125,6.031942857,-3.989529401,0.0006653842231,0.04551177527,63305_at,,96,63305_at,PKNOX2,63876,PBX/knotted 1 homeobox 2,human,
-1.132073622,9.522699889,-3.941672398,0.0006688634357,0.04559863884,212110_at,,97,212110_at,SLC39A14,23516,solute carrier family 39 member 14,human,
-1.142394093,7.714774696,-3.907527639,0.0007174668345,0.04807291566,219317_at,,98,219317_at,POLI,11201,DNA polymerase iota,human,
