Table of upregulated genes,,,,,,,,Table of gene symbols and names for upregulated genes,,,,,
This table was created by taking the consistently expressed genes in all 4 datasets and filtering for log2FC<-1 and p vlaue<0.05 in the limma output for Dataset 1. ,,,,,,,,This table was created by taking the geneID column from the table on the left and looking for the genes in BIOGPS. ,,,,,
logFC: estimate of the log2-fold-change corresponding to the contrast,AveExpr: average log2-expression for the probe over all arrays and channels,t: moderated t-statistic,P.Value: raw p-value,adj.P.Val: ajusted p-value,B: log-odds that the gene is differentially expressed,"Gene ID: affy probe ID, these were used to look for the gene symbols in BIOGPS ",,,the affy probe ID taken from geneID column from table on the left,Gene symbol,Gene ID,,
3.557748299,9.688165087,10.19078698,0.00000004192529611,0.00004044826752,8.934454561,211429_s_at,,11,211429_s_at,SERPINA1,5265,serpin family A member 1,human
1.180901836,6.141079764,10.00630319,0.00000005325920391,0.00004760861121,8.714102605,202528_at,,12,202528_at,GALE,2582,UDP-galactose-4-epimerase,human
1.860148646,7.050678129,9.979249119,0.00000005517676814,0.00004788555235,8.681458258,203854_at,,13,203854_at,CFI,3426,complement factor I,human
2.704380336,6.652550364,9.66109154,0.00000008410179694,0.00006568951068,8.291097246,205174_s_at,,14,205174_s_at,QPCT,25797,glutaminyl-peptide cyclotransferase,human
2.318565314,6.617360923,9.62777083,0.00000008794990927,0.00006772762379,8.249516274,203256_at,,15,203256_at,CDH3,1001,cadherin 3,human
3.338939257,4.712255647,9.57576483,0.00000009433247376,0.00007065243839,8.184349472,214702_at,,16,214702_at,FN1,2335,fibronectin 1,human
2.159263529,7.966794253,9.389742808,0.0000001214785429,0.00008407391558,7.948548053,37408_at,,17,37408_at,MRC2,9902,mannose receptor C type 2,human
4.292096492,8.765545421,9.356514639,0.0000001271413842,0.00008689318977,7.905978905,202833_s_at,,18,202833_s_at,SERPINA1,5265,serpin family A member 1,human
1.667635462,9.190447642,9.288574439,0.0000001396063298,0.00009196356727,7.818511639,203786_s_at,,19,203786_s_at,TPD52L1,7164,TPD52 like 1,human
3.132907637,6.605979372,9.249165316,0.0000001474228602,0.00009595648668,7.767511033,212992_at,,20,212992_at,AHNAK2,113146,AHNAK nucleoprotein 2,human
1.901543943,6.073910838,9.169846815,0.0000001645911124,0.0001031043794,7.664269464,205016_at,,21,205016_at,TGFA,7039,transforming growth factor alpha,human
1.186975709,9.684948854,9.155852069,0.0000001678333748,0.0001031043794,7.645971197,222294_s_at,,22,222294_s_at,RAB27A,5873,"RAB27A, member RAS oncogene family",human
3.298248045,10.7417057,9.107051289,0.0000001796774643,0.0001067811453,7.581968946,216442_x_at,,23,216442_x_at,FN1,2335,fibronectin 1,human
2.181249482,6.449302252,8.939139799,0.0000002276492918,0.0001244672503,7.359422399,207691_x_at,,24,207691_x_at,ENTPD1,953,ectonucleoside triphosphate diphosphohydrolase 1,human
1.847642042,8.44780559,8.905037133,0.0000002389496291,0.0001285838363,7.3137785,209473_at,,25,209473_at,ENTPD1,953,ectonucleoside triphosphate diphosphohydrolase 1,human
4.064464509,5.56557461,8.895444637,0.0000002422338389,0.0001285838363,7.300912396,209792_s_at,,26,209792_s_at,KLK10,5655,kallikrein related peptidase 10,human
5.295014649,8.495259585,8.700332555,0.0000003204828879,0.0001550655035,7.036597475,221266_s_at,,27,221266_s_at,DCSTAMP,81501,dendrocyte expressed seven transmembrane protein,human
2.140696564,10.70205062,8.656488432,0.0000003414946515,0.0001592959928,6.976510562,218309_at,,28,218309_at,CAMK2N1,55450,calcium/calmodulin dependent protein kinase II inhibitor 1,human
3.231112876,10.7633103,8.648222519,0.0000003456162811,0.0001592959928,6.965153729,210495_x_at,,29,210495_x_at,FN1,2335,fibronectin 1,human
2.854913084,6.639681545,8.557013904,0.0000003947436709,0.0001740533081,6.839232261,208161_s_at,,30,208161_s_at,ABCC3,8714,ATP binding cassette subfamily C member 3,human
1.680131258,7.161080745,8.495542673,0.0000004319717508,0.0001859689407,6.753735153,213422_s_at,,31,213422_s_at,MXRA8,54587,matrix remodeling associated 8,human
3.345118486,10.70378445,8.466257498,0.0000004509930493,0.0001911476354,6.712824346,212464_s_at,,32,212464_s_at,FN1,2335,fibronectin 1,human
1.628041274,5.817455827,8.235859945,0.0000006352593135,0.0002463319359,6.386881935,202733_at,,33,202733_at,P4HA2,8974,prolyl 4-hydroxylase subunit alpha 2,human
2.065483305,6.775473167,8.18559216,0.0000006851421631,0.0002601399151,6.314797165,209270_at,,34,209270_at,LAMB3,3914,laminin subunit beta 3,human
1.910919351,10.67884343,8.147071769,0.000000726153728,0.0002719346238,6.259320781,203510_at,,35,203510_at,MET,4233,"MET proto-oncogene, receptor tyrosine kinase",human
1.856451222,8.707292777,8.067141189,0.0000008197285715,0.0002942665512,6.143545513,218313_s_at,,36,218313_s_at,GALNT7,51809,polypeptide N-acetylgalactosaminyltransferase 7,human
1.982023353,8.715940645,8.018094849,0.0000008833658294,0.0003096027354,6.072061046,215380_s_at,,37,215380_s_at,GGCT,79017,gamma-glutamylcyclotransferase,human
3.881410224,6.300720228,7.977080938,0.0000009405732677,0.0003154959718,6.012023676,208025_s_at,,38,208025_s_at,HMGA2,8091,high mobility group AT-hook 2,human
1.523132453,6.194997343,7.724227343,0.000001391306022,0.0004003666144,5.636611715,210372_s_at,,39,210372_s_at,TPD52L1,7164,TPD52 like 1,human
2.836211561,5.333582718,7.699483333,0.000001446272668,0.0004081821805,5.599382625,211478_s_at,,40,211478_s_at,DPP4,1803,dipeptidyl peptidase 4,human
2.959172348,11.02568988,7.627336608,0.000001619975675,0.0004384441341,5.49032846,211719_x_at,,41,211719_x_at,FN1,2335,fibronectin 1,human
2.209100238,6.227087709,7.58859021,0.000001722195054,0.0004505311702,5.431449974,219932_at,,42,219932_at,SLC27A6,28965,solute carrier family 27 member 6,human
1.97075323,5.821879844,7.552379753,0.000001823865655,0.0004647148773,5.37622803,204401_at,,43,204401_at,KCNN4,3783,potassium calcium-activated channel subfamily N member 4,human
2.336102527,8.475318316,7.549610501,0.000001831896535,0.0004647148773,5.371996996,209360_s_at,,44,209360_s_at,LOC101928269,101928269,uncharacterized LOC101928269,human
4.155012124,,,,,,,,45,209360_s_at,LOC100506403,100506403,uncharacterized LOC100506403,human
2.893265626,,,,,,,,46,209360_s_at,RUNX1,861,RUNX family transcription factor 1,human
2.347381664,8.845692861,7.425772725,0.000002231877247,0.0005375677907,5.181646227,37004_at,,47,37004_at,SFTPB,6439,surfactant protein B,human
3.560520376,7.818386339,7.281979429,0.000002814182665,0.0006384457975,4.957800182,206765_at,,48,206765_at,KCNJ2,3759,potassium inwardly rectifying channel subfamily J member 2,human
1.904533936,7.099546915,7.217182493,0.000003126862711,0.0006893597529,4.855932648,201487_at,,49,201487_at,CTSC,1075,cathepsin C,human
2.074435874,9.6290057,7.183683427,0.000003302623184,0.0007140680297,4.803024854,209810_at,,50,209810_at,SFTPB,6439,surfactant protein B,human
1.548038859,6.07620355,7.136503541,0.000003567948638,0.0007571840202,4.72822744,218613_at,,51,218613_at,PSD3,23362,pleckstrin and Sec7 domain containing 3,human
1.7583337,7.279358977,7.124399512,0.000003639561696,0.0007640009091,4.708984813,219743_at,,52,219743_at,HEY2,23493,hes related family bHLH transcription factor with YRPW motif 2,human
1.645373874,7.446442007,7.064948585,0.000004013863321,0.0008188730488,4.61415501,202826_at,,53,202826_at,SPINT1,6692,"serine peptidase inhibitor, Kunitz type 1",human
2.191967425,9.369849583,6.966738214,0.000004723282067,0.0009125280813,4.456345987,213693_s_at,,54,213693_s_at,MUC1,4582,"mucin 1, cell surface associated",human
3.294505828,6.147035464,6.863609069,0.000005611421852,0.001029545268,4.289081215,211343_s_at,,55,211343_s_at,COL13A1,1305,collagen type XIII alpha 1 chain,human
1.252030527,6.476271075,6.78947312,0.000006356989516,0.001114001288,4.167855848,201650_at,,56,201650_at,KRT19,3880,keratin 19,human
3.320883611,6.852885943,6.778411253,0.000006476842301,0.001124194771,4.149697051,205728_at,,57,205728_at,TENM1,10178,teneurin transmembrane protein 1,human
2.167502141,8.885718853,6.764674939,0.000006628975754,0.001145891897,4.127122404,208712_at,,58,208712_at,CCND1,595,cyclin D1,human
1.417587474,8.552748497,6.714449006,0.000007217880931,0.001221788359,4.044338512,212850_s_at,,59,212850_s_at,LRP4,4038,LDL receptor related protein 4,human
1.388659003,8.336860993,6.703358631,0.000007355152982,0.001233567452,4.026007959,209990_s_at,,60,209990_s_at,GABBR2,9568,gamma-aminobutyric acid type B receptor subunit 2,human
3.241484849,4.529662217,6.688224027,0.000007546909338,0.001261857089,4.000963155,214701_s_at,,61,214701_s_at,FN1,2335,fibronectin 1,human
2.673655162,9.433194185,6.63169815,0.000008310663132,0.001344335819,3.907119615,202609_at,,62,202609_at,EPS8,2059,epidermal growth factor receptor pathway substrate 8,human
1.062560651,7.6979688,6.551468533,0.000009536411861,0.001471201613,3.773099136,213936_x_at,,63,213936_x_at,SFTPB,6439,surfactant protein B,human
1.440229474,5.614787946,6.468970606,0.00001099572351,0.001603176488,3.634281232,206884_s_at,,64,206884_s_at,SCEL,8796,sciellin,human
1.184853133,6.325012702,6.392833874,0.00001255033201,0.001772824766,3.50526086,209228_x_at,,65,209228_x_at,TUSC3,7991,tumor suppressor candidate 3,human
1.494513265,6.403427926,6.388235344,0.00001265129779,0.001772824766,3.497440415,204014_at,,66,204014_at,DUSP4,1846,dual specificity phosphatase 4,human
2.195041791,9.440902665,6.273189705,0.00001547412438,0.002054713553,3.300758957,203349_s_at,,67,203349_s_at,ETV5,2119,ETS variant transcription factor 5,human
1.857505472,5.896941962,6.204292181,0.00001747308326,0.002250750345,3.182025581,201430_s_at,,68,201430_s_at,DPYSL3,1809,dihydropyrimidinase like 3,human
2.438073892,7.458027976,6.176551299,0.00001835247022,0.002333537928,3.134019156,213241_at,,69,213241_at,PLXNC1,10154,plexin C1,human
2.082627259,6.599220888,6.11260737,0.00002056009521,0.002537524167,3.022926846,221073_s_at,,70,221073_s_at,NOD1,10392,nucleotide binding oligomerization domain containing 1,human
2.329082833,8.279665901,6.054531361,0.00002280557057,0.002746463813,2.921504303,213135_at,,71,213135_at,TIAM1,7074,TIAM Rac1 associated GEF 1,human
1.5167069,6.44302301,6.052807687,0.00002287599952,0.002748890712,2.918486506,218960_at,,72,218960_at,TMPRSS4,56649,transmembrane serine protease 4,human
2.681314335,5.858819039,6.015509166,0.00002445688334,0.002900607585,2.853077259,213423_x_at,,73,213423_x_at,TUSC3,7991,tumor suppressor candidate 3,human
3.441132549,8.412561571,6.005306879,0.00002490885331,0.002947817218,2.835150159,209515_s_at,,74,209515_s_at,RAB27A,5873,"RAB27A, member RAS oncogene family",human
2.205318153,5.031872021,5.935720371,0.00002823330775,0.003143902446,2.712467779,220979_s_at,,75,220979_s_at,ST6GALNAC5,81849,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",human
1.736057802,6.533992439,5.831602824,0.00003409632159,0.003598873326,2.527586665,203180_at,,76,203180_at,ALDH1A3,220,aldehyde dehydrogenase 1 family member A3,human
2.666561946,7.938341824,5.785064457,0.00003711451292,0.003851149967,2.444440758,214354_x_at,,77,214354_x_at,SFTPB,6439,surfactant protein B,human
1.611305269,7.136496987,5.785023255,0.00003711730492,0.003851149967,2.444367007,221840_at,,78,221840_at,PTPRE,5791,protein tyrosine phosphatase receptor type E,human
2.877444065,6.943581721,5.721598689,0.0000416854944,0.004151465221,2.330550537,204105_s_at,,79,204105_s_at,NRCAM,4897,neuronal cell adhesion molecule,human
1.198149015,6.80776307,5.67038017,0.00004579999692,0.004419503457,2.238219013,214803_at,,80,214803_at,CDH6,1004,cadherin 6,human
2.482324478,6.292020419,5.637666972,0.00004864703826,0.004546627037,2.179052403,212531_at,,81,212531_at,LCN2,3934,lipocalin 2,human
1.661415775,5.215233288,5.615078083,0.00005071987625,0.004692232207,2.138109024,205490_x_at,,82,205490_x_at,GJB3,2707,gap junction protein beta 3,human
3.332712349,9.400745025,5.610232788,0.00005117633439,0.004718492551,2.129317369,214175_x_at,,83,214175_x_at,PDLIM4,8572,PDZ and LIM domain 4,human
2.003405637,4.000820122,5.510902493,0.00006153712691,0.005272205167,1.948363156,209227_at,,84,209227_at,TUSC3,7991,tumor suppressor candidate 3,human
2.148967733,8.639350114,5.501402182,0.0000626361719,0.005302395997,1.93098437,209396_s_at,,85,209396_s_at,CHI3L1,1116,chitinase 3 like 1,human
2.023555199,5.468583069,5.473422308,0.00006599298825,0.00548726868,1.879729103,205954_at,,86,205954_at,RXRG,6258,retinoid X receptor gamma,human
1.093351662,8.146982242,5.447803063,0.00006923043521,0.005641093957,1.832704202,201926_s_at,,87,201926_s_at,CD55,1604,CD55 molecule (Cromer blood group),human
1.357466743,7.748565669,5.307089184,0.00009019979297,0.006907105996,1.572839814,202357_s_at,,88,202357_s_at,CFB,629,complement factor B,human
2.285060504,11.08080567,5.290712496,0.00009303615499,0.007074759074,1.542424844,208892_s_at,,89,208892_s_at,DUSP6,1848,dual specificity phosphatase 6,human
1.418721003,4.737056811,5.265535055,0.00009757829734,0.007308347133,1.495596453,205713_s_at,,90,205713_s_at,COMP,1311,cartilage oligomeric matrix protein,human
1.059198168,7.292708546,5.202005656,0.0001100894473,0.007838850518,1.377070143,207847_s_at,,91,207847_s_at,MUC1,4582,"mucin 1, cell surface associated",human
2.286432641,7.080130343,5.196825645,0.0001111802108,0.0078740648,1.36738294,202458_at,,92,202458_at,PRSS23,11098,serine protease 23,human
1.684577205,7.548103813,5.184258018,0.0001138733388,0.008009131203,1.343865835,210605_s_at,,93,210605_s_at,MFGE8,4240,milk fat globule EGF and factor V/VIII domain containing,human
1.604296766,7.674267922,5.181595842,0.0001144524334,0.008022675376,1.338881671,209457_at,,94,209457_at,DUSP5,1847,dual specificity phosphatase 5,human
2.186094606,9.631071126,5.171567478,0.0001166613771,0.008135791824,1.320098339,203780_at,,95,203780_at,MPZL2,10205,myelin protein zero like 2,human
2.587176349,5.725265592,5.168051492,0.0001174462477,0.008180093747,1.313509806,219630_at,,96,219630_at,PDZK1IP1,10158,PDZK1 interacting protein 1,human
1.353488747,5.905713753,5.155890133,0.0001202034089,0.008303132653,1.290708831,221577_x_at,,97,221577_x_at,GDF15,9518,growth differentiation factor 15,human
3.969652556,7.376139149,5.147907937,0.0001220494189,0.008372712644,1.275733107,202436_s_at,,98,202436_s_at,CYP1B1,1545,cytochrome P450 family 1 subfamily B member 1,human
2.151944897,5.156564754,5.135132426,0.0001250652239,0.008490669715,1.251747782,203716_s_at,,99,203716_s_at,DPP4,1803,dipeptidyl peptidase 4,human
3.523935771,9.20082858,5.117220915,0.0001294237949,0.008632615299,1.2180855,209395_at,,100,209395_at,CHI3L1,1116,chitinase 3 like 1,human
1.730962546,7.445397368,4.947105291,0.0001795447378,0.01105473935,0.89642163,211564_s_at,,101,211564_s_at,PDLIM4,8572,PDZ and LIM domain 4,human
1.846881727,9.404130657,4.935505186,0.0001836208605,0.01121728553,0.8743620092,202286_s_at,,102,202286_s_at,TACSTD2,4070,tumor associated calcium signal transducer 2,human
1.15143059,7.83733628,4.906854787,0.0001941025161,0.01159842084,0.8198116313,218856_at,,103,218856_at,TNFRSF21,27242,TNF receptor superfamily member 21,human
1.425912447,5.854841168,4.887248863,0.0002016293647,0.011841123,0.7824277536,204870_s_at,,104,204870_s_at,PCSK2,5126,proprotein convertase subtilisin/kexin type 2,human
1.694066821,9.097796024,4.8691011,0.0002088647076,0.0121228003,0.7477854179,218847_at,,105,218847_at,IGF2BP2,10644,insulin like growth factor 2 mRNA binding protein 2,human
2.241071928,4.803537385,4.765347846,0.0002556937217,0.01416418869,0.5490304593,205485_at,,106,205485_at,RYR1,6261,ryanodine receptor 1,human
1.182415285,10.31632722,4.744131875,0.0002665328338,0.01463120752,0.5082450604,202071_at,,107,202071_at,SDC4,6385,syndecan 4,human
1.112594659,9.738845838,4.736149373,0.000270732517,0.01475802629,0.492887309,201666_at,,108,201666_at,TIMP1,7076,TIMP metallopeptidase inhibitor 1,human
2.162600361,7.658802924,4.732491842,0.0002726794762,0.01484935295,0.4858482643,201474_s_at,,109,201474_s_at,ITGA3,3675,integrin subunit alpha 3,human
2.129468302,3.833506415,4.671849173,0.0003071455786,0.01627246561,0.3689386572,204493_at,,110,204493_at,BID,637,BH3 interacting domain death agonist,human
1.532843845,6.084378848,4.597885916,0.0003553244487,0.0179746949,0.2258520442,202435_s_at,,111,202435_s_at,CYP1B1,1545,cytochrome P450 family 1 subfamily B member 1,human
2.302587043,9.118097409,4.52680081,0.0004089581245,0.01978742076,0.08784361105,202295_s_at,,112,202295_s_at,CTSH,1512,cathepsin H,human
2.279587485,8.414384245,4.483714587,0.000445444547,0.02097733041,0.00397156866,209288_s_at,,113,209288_s_at,CDC42EP3,10602,CDC42 effector protein 3,human
1.266471225,8.35893833,4.410591808,0.0005151855732,0.02337574375,-0.1387325601,203021_at,,114,203021_at,SLPI,6590,secretory leukocyte peptidase inhibitor,human
1.817749886,6.474221043,4.366059961,0.0005630443744,0.02480616533,-0.2258513531,209173_at,,115,209173_at,AGR2,10551,"anterior gradient 2, protein disulphide isomerase family member",human
1.367373023,5.185810561,4.339573333,0.0005936442252,0.02565450149,-0.277739925,215506_s_at,,116,215506_s_at,DIRAS3,9077,DIRAS family GTPase 3,human
1.268563799,5.576995663,4.333165751,0.0006012990742,0.02582562992,-0.2903005168,202311_s_at,,117,202311_s_at,COL1A1,1277,collagen type I alpha 1 chain,human
1.249553152,4.06228598,4.291284383,0.0006538814136,0.02718704661,-0.3724721395,203779_s_at,,118,203779_s_at,MPZL2,10205,myelin protein zero like 2,human
1.490554313,9.3784813,4.237562513,0.000728278084,0.02925687307,-0.478051526,217858_s_at,,119,217858_s_at,ARMCX3,51566,armadillo repeat containing X-linked 3,human
2.023722865,7.153358074,4.22865347,0.000741426817,0.02968694015,-0.4955786686,209514_s_at,,120,209514_s_at,RAB27A,5873,"RAB27A, member RAS oncogene family",human
1.434059122,7.533259539,4.200576911,0.0007844711535,0.03066651997,-0.5508472408,208893_s_at,,121,208893_s_at,DUSP6,1848,dual specificity phosphatase 6,human
3.23657312,8.544185141,4.157480102,0.0008555599661,0.03245814617,-0.6357744258,202310_s_at,,122,202310_s_at,COL1A1,1277,collagen type I alpha 1 chain,human
2.378050279,4.691532455,4.128374294,0.000907253998,0.03369844588,-0.69318959,218691_s_at,,123,218691_s_at,PDLIM4,8572,PDZ and LIM domain 4,human
1.085056244,7.927319016,4.126556994,0.000910585283,0.03370768473,-0.6967759598,204446_s_at,,124,204446_s_at,ALOX5,240,arachidonate 5-lipoxygenase,human
1.486274659,8.089487273,4.113456412,0.0009349713746,0.03447037081,-0.7226344948,206595_at,,125,206595_at,CST6,1474,cystatin E/M,human
1.138588212,8.306561905,4.088077188,0.0009841223505,0.03565731578,-0.7727536912,208540_x_at,,,,S100A11,,,
2.796537265,6.594114462,4.041422719,0.001081444615,0.03797558402,-0.8649664191,221900_at,,126,221900_at,COL8A2,1296,collagen type VIII alpha 2 chain,human
1.017391161,9.558285692,4.03731356,0.00109047216,0.03814747643,-0.8730927783,200660_at,,127,200660_at,S100A11,6282,S100 calcium binding protein A11,human
1.622138938,7.974247676,3.99557115,0.001186634142,0.04042319111,-0.9556820506,202437_s_at,,128,202437_s_at,CYP1B1,1545,cytochrome P450 family 1 subfamily B member 1,human
1.467655754,6.605323823,3.959178833,0.001277480492,0.04271941646,-1.02773852,204328_at,,129,204328_at,TMC6,11322,transmembrane channel like 6,human
1.450038401,5.311697207,3.919632254,0.001384228126,0.04510290391,-1.106088578,211725_s_at,,130,211725_s_at,BID,637,BH3 interacting domain death agonist,human
,7.706096192,3.914362181,0.001399120969,0.04536998953,-1.116533075,202589_at,,131,202589_at,TYMS,7298,thymidylate synthetase,human
,7.578929921,3.868876822,0.001534600975,0.04812024246,-1.206706709,203921_at,,132,203921_at,CHST2,9435,carbohydrate sulfotransferase 2,human
